RouteName,Location,URL,Avg Stars,Route Type,Rating
Categorical Imperative,School Room > The Running Scared Wall > Brian Head > Southwest Utah > Utah,https://www.mountainproject.com/route/120877110/categorical-imperative,3,Sport,5.10a
Bad is Good,Kanab Creek Crag > Kanab Area > Southwest Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10-
Arborizm,Kanab Creek Crag > Kanab Area > Southwest Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a/b
Carrion Pillar,"Flying Raptor's Area > Jungle, on the Aquarius Plateau > South Central Utah > Utah",https://www.mountainproject.com/route/126021843/bad-is-good,3.2,"Sport, Alpine",5.10-
Black Elk,Good Medicine Area > Ruth Lake > Uinta Mountains > Northeast Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,3.4,Sport,5.10a
Sweet Lady J,Cliff Lake > Uinta Mountains > Northeast Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,"Sport, TR",5.10a
Thor's Unhappy,Castle Lake > Uinta Mountains > Northeast Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,"Trad, Sport",5.10a
Powerslave,Iron Hayden Wall > Hayden Peak > Uinta Mountains > Northeast Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,3.3,"Sport, Alpine",5.10a
Cobra,Cobrazone > Bald Mountain > Uinta Mountains > Northeast Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,"Sport, Alpine",5.10a
Agree to Disagree,The Pass Crag > Bald Mountain > Uinta Mountains > Northeast Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,"Sport, Alpine",5.10a
Sunglasses and Mustaches,Uncle Paul Wall > Bald Mountain > Uinta Mountains > Northeast Utah > Utah,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, Alpine",5.10a
Frostbite,Post Wall > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,"Sport, TR",5.10-
Duddly Do Right,Rocky Wall > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Devil's Hopscotch,Eastside > Hells Gate > North Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
The Devil Himself,Eastside > Hells Gate > North Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.3,Sport,5.10a
Candy Ass,Mid Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Poodle Boy,The Fringe > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Bee Line,Terrapin > Northern Pins > The Pins > Pins And Needles > West Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,"Sport, TR",5.10a
For Whom the Bell Tolls,Roadside Rock > Mores Mountain > West Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Rug Doctor,Undertow Wall > The Projects > Riggins Limestone > Riggins > West Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Dance Class,Ramshorn Canyon Main Wall > Ramshorn Canyon > Lost River Range > Central Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, Alpine",5.10-
Revolution,02. Classic Rock > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10-
Cherts So Good,12. Dark Side of the Moon > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10-
Coral Sea,Bardini Wall > Box Canyon > Lemhi Range > Central Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,"Sport, Alpine",5.10a
Lemhi Winds,The Narrows left side > Box Canyon > Lemhi Range > Central Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.6,"Sport, Alpine",5.10a
Solstice,Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
The Good Stuff,Tahitian Rocks > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Tribal Boundaries,Flaming Rock > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.7,Sport,5.10a/b
New York Is Not The City,Bumblie Rock > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Return of the Bumblie,Bumblie Rock > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a/b
Short Circuit,Transformer Corridor > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,"Trad, Sport",5.10a
I Can't Believe It,Slabbage Patch > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.4,Sport,5.10a
Lego,Building Blocks - West > Building Blocks > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a PG13
Shock and Awe,West Buttress - South > Castle Rocks > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.7,Sport,5.10a
Jug-A-Lug,The Crack House > Castle Rocks > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
Crimson Arete,Castle Rock - East Face > Castle Rocks > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
Red Rib,Hostess Gully - West Corridor > Castle Rocks > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10a/b
True Grit,True Grit > South Hills > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a PG13
Jump,West Side > Sweet 17 > East Sector > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Continental Crust,Comp Rock - East Face > Comp Rock > East Sector > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
Vacation Day,The Prow > Dierkes Lake > Twin Falls and the Snake River Canyon > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.4,Sport,5.10a
Ropegun Henry,Bridgeview > Twin Falls and the Snake River Canyon > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Arachnophobia,Picnic Crag > Shoshone Falls Area > Twin Falls and the Snake River Canyon > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.7,Sport,5.10a
Whac-A-Mole,The Midway > Shoshone Falls Area > Twin Falls and the Snake River Canyon > South Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Zorro,4. South of the Border Area > All American Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Star Spangled Banger,4. South of the Border Area > All American Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
CLOSED TO CLIMBING Crack Baby,CLOSED TO CLIMBING Lower Tier of the Asylum Wall > CLOSED TO CLIMBING Owl Cove Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10a
CLOSED TO CLIMBING Nurse Ratchet,CLOSED TO CLIMBING Lower Tier of the Asylum Wall > CLOSED TO CLIMBING Owl Cove Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
What a Crack Up,Funny Business Wall > Funny Business Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, TR",5.10a
Rap-Tour,Eagle Wall - Left & Center > Eagle Wall > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Flies On A Hotdog,Eagle Wall - Left & Center > Eagle Wall > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
"Look Ma, No Hands",Darby Canyon > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a/b
Head on a Silver Platypus,Pointless Crag > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
Backscratcher,Weeping Cave > Palisades Creek > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
59,Middle Wall > Sunny Side > Ross Park > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.3,"Sport, TR",5.10a
65,Ivy League Wall > Sunny Side > Ross Park > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, TR",5.10a/b
T-Rex,03. The Snarl > 05. The Nose > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.7,Sport,5.10-
Black Magic,02. The Head Wall > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10-
"Drill, Baby, Drill",04. Send Town > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Zulu Queen,03. Africa Wall > 07. The Sandbox Area > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10-
Uphill Both Ways (Right),Boot Camp > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Buzz Cut,Boot Camp > East Idaho > Idaho,https://www.mountainproject.com/route/126021843/bad-is-good,3.7,Sport,5.10a/b
Bort,Somewhere n00b > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Alien Head,Alien Head Area > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10-
Illustrated Man,Illustrated Man Wall > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Gozer the Gozerian,Apparition Rock (Front) > Apparition Rock > Indian Cove CG West > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
B for Beers,The Negropolis > Negropolis Area > Quail Springs Area > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
See Mop Who,Lazy Dome > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10-
Sun Dog Chimney,The Wedge > Jumbo Rock Area > Pinto Basin > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Sinking the Bismark,The Bismark > Jumbo Rock Area > Pinto Basin > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Bury the Pickle,Solomon Islands > Geology Tour Road > Queen Valley Area > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10-
Eat Me Volume 23,Solomon Islands > Geology Tour Road > Queen Valley Area > Joshua Tree National Park > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10-
Atlas Shrugged,Shute-Mills Area > The Far Side > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,"Sport, TR",5.10a R
Mystery Hole,Shute-Mills Area > The Far Side > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, TR",5.10a
Old Ladder Route,The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, TR",5.10a/b
Macondo,Macondo Cliff > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Abracadabra,Blind Man's Bluff > Blind Man's Bluff Area > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
Pipeline,Near Side > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.3,Sport,5.10a
Groovie Ghoulies,Near Side > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a/b
The Big Door Prize,The Claw (aka Chipmonk) > Down Under > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
Peg Leg,Shipwreck Wall > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.3,"Sport, TR",5.10a
Lure of Lucre,Bell Canyon > Angwin > Wine Country/Northeast Bay > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,4,Sport,5.10a
Mullah,California Ridge > Castle Rock Area > South Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Amazing Face,Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
Rust Never Sleeps,Grey Slab > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,"Sport, TR",5.10a R
Effervescent [HISTORIC],Kimbuktu Tower > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a/b
Quilligan (aka Friendly),Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Bolly Boo Ball,Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a/b
Micro Aggression,Kim's gym (aka Kym's Gym) > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10a
Tiger Moth,The Mill > The Lost Sierra > Northeast California > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Smooth Operator,Bald Rock Dome > Bald Rock > The Lost Sierra > Northeast California > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10-
Komatose,Cantara Loop > Mount Shasta Area > Northeast California > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Right Tower,(i) Below Smooth Sole Wall Face > Suicide Rock > Tahquitz & Suicide Rocks > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Brain Stem,Brain Stem Rock > Fry Koegel Trail > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10a
Flying Arete,Brain Stem Rock > Fry Koegel Trail > Mount Woodson > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Double Dragon Arete,Stellar Walls > Ramona Wall > Poway Crags > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Social Distancing,Cougar Crag East > Cougar Crag > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
Insecurity Never Wins,Cougar Crag East > Cougar Crag > North San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Parallel Universe,Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Urge to Merge,Left Wall > The Wedge > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a/b
Land Manager,2-Second Tier > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.3,Sport,5.10a
Mother Lode,Claim Jumper Wall > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Chocolate Cake,Chocolate Wall > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,4,Sport,5.10a
Harvestman Spider,Grey Pillar > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Double Overhead,Western Highlands > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.6,Sport,5.10a
Borderline,Patina Wall > Valley of the Moon > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10a
Wish You Were Here,El Nino Wall > Corte Madera > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Close to the Edge,El Nino Wall > Corte Madera > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a/b
High Chaparral,Video Dome > Corte Madera > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a/b
Candid Chimera,Solar Slabs > Corte Madera > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.4,Sport,5.10a
Slama Jama,Lowenbrau Pinnacle > McCain Valley > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,"Trad, Sport",5.10a
White Arete,Right Wall > Eagle Peak > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
White Arete (2nd Pitch Variation),Right Wall > Eagle Peak > South San Diego County > San Diego County > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Day Glow,Radon Pinnacle > Main Ridge Pinnacles > Lake Arrowhead Pinnacles > Lake Arrowhead Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Shotgun Wedding,Hone Pinnacle > Shooting Gallery > Lake Arrowhead Pinnacles > Lake Arrowhead Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10a
Goblin Roof,Voodoo Wall > The Coven > Fawnskin Area > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Pistol Pete,Doc Holliday Wall > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear City Area > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.6,Sport,5.10a/b
Ricochet,Pistol Whipped Wall > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear City Area > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
One Armed Bandit,Claim Jumper Wall > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear City Area > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Powder Keg,Motherlode Rock - North Face > Motherlode Rock > Central Pinnacles > Holcomb Valley Pinnacles > Big Bear City Area > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Vertical Epic,Stone Wall > Pinnacles North > Holcomb Valley Pinnacles > Big Bear City Area > Big Bear North > Big Bear Lake Area > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.5,Sport,5.10a
Sardonyx,(h) Onyx Summit Crag > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
King Under the Mountain,Lower Tier (Left Side) > Lower Tier > (d) Frustration Creek > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
L.O.L.,Middle Tier (Left Side) > Middle Tier > (d) Frustration Creek > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Maximum Hippy,Upper Tier > (d) Frustration Creek > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
Can't Remember,The Headwall > (d) Frustration Creek > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Schizophrenic Slab,Overhead Wall > (d) Frustration Creek > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a/b
Mosquito,Malaria Crag > (e) Mountain Home Creek > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a/b
Negative Reinforcement,The Secret Passage > (c) Monkeyface Falls > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,4,Sport,5.10a
Soft Candy,The Secret Passage > (c) Monkeyface Falls > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Blurred Vision,The Secret Passage > (c) Monkeyface Falls > Highway 38 Crags > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Slab Route,The Fin > Red Obelisk Area > Juniper Flats Area > North Slope > San Bernardino Mountains > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a/b
Abner Bear is Everywhere,Long's Folly > High Peaks Central > High Peaks > Pinnacles National Park > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Swine Flue,Spikes Peak > High Peaks North > High Peaks > Pinnacles National Park > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
The Shaft,The Shaft > High Peaks South > High Peaks > Pinnacles National Park > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Subterranean Tango,East Face > Monolith > East Side > Pinnacles National Park > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a R
Sound Chaser Direct,Upper Crust > East Side > Pinnacles National Park > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, TR",5.10a
Get Smart,Whitetail Rock > West Side > Pinnacles National Park > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.4,Sport,5.10a
The Back Nine,Balconies Bumps > West Side > Pinnacles National Park > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Simple Man,Shadow Rock > Bishop Peak > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a PG13
Sense of Balance,Shadow Rock > Bishop Peak > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.3,Sport,5.10a/b
Lycra,Shadow Rock > Bishop Peak > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a/b
Out of Hangers,P-Wall > Bishop Peak > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a R
Epidural,P-Wall > Bishop Peak > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.4,"Trad, Sport, TR",5.10a
Static Cats,P-Wall > Bishop Peak > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a
Obfuscate,The Cube > Bishop Peak > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Amputation,Green Rock > Cerro Romauldo > San Luis Obispo > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,4,Sport,5.10a
Daximus,Makunaima Amphitheater > Cold Springs Dome > Gibraltar Area > Santa Barbara > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.2,Sport,5.10a
Scorpion Exile,Phantom Rock > Gibraltar Area > Santa Barbara > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, TR",5.10a PG13
Lupin,Hummingbird Rock > Gibraltar Area > Santa Barbara > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,4,Sport,5.10-
Yarrow,Hummingbird Rock > Gibraltar Area > Santa Barbara > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,4,Sport,5.10a/b
Great Race,San Ysidro > Santa Barbara > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,"Sport, TR",5.10a
Twice Stung and Forever Shy,Bug Wall > Invisible Wall > Santa Barbara > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10-
Economique,Wheeler Gorge > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
I Love L.A.,"Foothill Crag (""The Foot"") > Hwy 33/Ojai > Central Coast > California",https://www.mountainproject.com/route/126021843/bad-is-good,2.9,Sport,5.10a PG13
Seven Steps to Heaven,Central Gully > The Fortress > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,Sport,5.10a
Right Between the Eyes,Derrydale Cliff > Hwy 33/Ojai > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Are You Happy in Your Work?,Mystery Science Theater > Conejo Mountain > Central Coast > California,https://www.mountainproject.com/route/126021843/bad-is-good,2.8,"Sport, TR",5.10a
Route B/Left Face,2-Rowell > Rush > June Lake Area > Sierra Eastside > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10a
Ruffles,Potato 3 > Potato Patch > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Cholito,Area 13 - Center > Area 13 > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.1,Sport,5.10a
Backiotomy,Parking Lot Rock > Clark Canyon > Mammoth Lakes Area > Sierra Eastside > California,https://www.mountainproject.com/route/126021843/bad-is-good,3,Sport,5.10-
Sideshow,Gong Show Wall > Rock Creek > Mammoth Lakes Area > Sierra Eastside > California,https://www.mountainproject.com/route/126021843/bad-is-good,3.4,Sport,5.10a
